source,date,week,rating,title,text,theme_label
Play Store,2026-09-19,2026-W38,4,,"it's èasy ,user friendly and it's charges are costly.","Charges, Statements & Support"
Play Store,2026-09-19,2026-W38,1,,यह बहुत ही खराब है फालतू के चार्ज बहुत ज्यादा लगती है कमोडिटी ट्रेन में कई बार मेरे पैसे को ब्लॉक किया है पहले अच्छा था मैं 5 साल से use कर रहा हूं लेकिन आप बहुत ही खराब हो गया है,Unthemed
Play Store,2026-09-18,2026-W38,1,,the ui is getting clumsy witb each feature and business update.,App Performance & UX
Play Store,2026-09-18,2026-W38,5,,when you guys will make it better for ipad users?,App Performance & UX
Play Store,2026-09-18,2026-W38,1,,Glitch full App,App Performance & UX
Play Store,2026-09-18,2026-W38,1,,Doesn't have enough support agent to solve any queries.,"Charges, Statements & Support"
Play Store,2026-09-18,2026-W38,1,,customer service is terrible they will never receive the call and will never reply you back in chat. I faced this multiple times.,"Charges, Statements & Support"
Play Store,2026-09-18,2026-W38,1,,very disappointed with the customer care service. my f&o positions suddenly showing 13 lakhs negative and even stopped showing current positions. unable contact customer support over call or chat. very worst service. don't trust any more,"Charges, Statements & Support"
Play Store,2026-09-18,2026-W38,5,,I have a suggestion that Mobile number change karne ke liye bina login ke bhi online koi option hona chahiye,Onboarding & KYC
Play Store,2026-09-18,2026-W38,1,,my money isnt settled from yesterday no email reply no call receive using it from 4 years better to quit,Payments & Withdrawals
Play Store,2026-09-18,2026-W38,1,,Don't install it. It is useless because you save your money for growth and investment purposes as well as timely needs indeed but the problem is your money you can't use when you need then why we use groww app. If I can't withdraw the amount from my wallet then why do I choose It. It deserves zero star.,Payments & Withdrawals
Play Store,2026-09-18,2026-W38,5,,good 😊,Unthemed
Play Store,2026-09-17,2026-W38,1,,"groww app F and O always struck, glitches,slow moments very bad, very worst app always lag",App Performance & UX
Play Store,2026-09-17,2026-W38,1,,Bahut hidden charges lagate hai... alag alag reason se charges cut karte hai... customer support achcha nahi hai bahut late response karta hai...,"Charges, Statements & Support"
Play Store,2026-09-17,2026-W38,1,,"I have been using Groww for around 5 years, and based on my overall experience, I believe the app is quite good for investing in shares and market analysis. However, [name] 1 star because of my recent experience with customer support. Despite being a long-time user, I was disappointed with the way my issue was handled and the support I received. For F&O trading, I also feel Groww is not very suitable due to higher brokerage charges and issues related to auto square-off/auto-sequencing. So,","Charges, Statements & Support"
Play Store,2026-09-17,2026-W38,2,,"Absolutely useless update loop😠 [name] with this app. Every single time you push an update, all of my technical indicators and chart setups (RSI, MACD, Moving Averages) are completely wiped out! It is infuriating to have to manually re-configure and re-apply my entire technical analysis layout every couple of weeks just because of a basic app update.",Orders & Investing
Play Store,2026-09-17,2026-W38,5,,mind blowing for trade,Orders & Investing
App Store,2026-09-17,2026-W38,5,Easy,Useful and Helpful Comfort 💯✅ Trusted 💯 Trustworthy& easy,Unthemed
Play Store,2026-09-16,2026-W38,1,,"ये लोग brokrege charge कितना काट ना है वो तो बताएगै लेकिन, DP charge ,CDSL DP charge, exchange ट्रांजेक्शन चार्ज कितना कटना है, वो कभी नही बताया जायेगा ।","Charges, Statements & Support"
Play Store,2026-09-16,2026-W38,5,,"If the name has already been updated on the PAN card, the updated details should ideally be fetched and updated automatically in the system. Why do we have to fill out a separate form and submit documents again? This makes the process unnecessarily lengthy and inconvenient for the user.",Onboarding & KYC
Play Store,2026-09-16,2026-W38,5,,profit,Orders & Investing
Play Store,2026-09-16,2026-W38,4,,"Thanks for adding the account switch feature. But there is one more thing you should do this this account settings like chart, sorting for share should not reset when account is switched Dear Groww Tea, [name] you please ad an option in this app to switch account as of now every time I need to logout and again login this will reset all chart settings. so add a feature that just one click switch account and all settings remaining same for a user if he handle their family account.",Orders & Investing
Play Store,2026-09-16,2026-W38,1,,"money transfer is too low, takes too long irritate",Payments & Withdrawals
Play Store,2026-09-16,2026-W38,5,,good,Unthemed
Play Store,2026-09-16,2026-W38,5,,good app,Unthemed
Play Store,2026-09-15,2026-W38,1,,Annoying loan offers and useless notifications,App Performance & UX
Play Store,2026-09-15,2026-W38,5,,bahut hi acha app lga investment ke liye,Orders & Investing
Play Store,2026-09-15,2026-W38,5,,upi Autopay లొ revoked notification వస్తె బాగుంటుంది,Payments & Withdrawals
Play Store,2026-09-14,2026-W38,1,,Bad Experience. couldn't set up. they show PAN Number is wrong. but I put the correct number. 3rd class app.,Onboarding & KYC
Play Store,2026-09-14,2026-W38,1,,i like this app and it's feature only I don't like one thing which is need account reactivate with the document of 12 digit AADHAR. according to my point of view it is not necessary only need active bank account. govt never said that if want do trading or explore with any online trading app u must provide AADHAR. it is not the gud thing it's a privacy concern.,Onboarding & KYC
Play Store,2026-09-14,2026-W38,5,,easy login and faster to create sip in less than 1 minute,Onboarding & KYC
Play Store,2026-09-14,2026-W38,1,,"3rd class broker, my trading account showing blocked, not able to trade or do anything, all segment showing active i connect multiple time with support but nothing fixed by support, i filled teraform 20 time account still blocked.",Payments & Withdrawals
Play Store,2026-09-14,2026-W38,5,,this app is very good 👍,Unthemed
Play Store,2026-09-13,2026-W37,1,,"FUNDS NOT SAFE..CHECK YOUR FUNDS AND ORDER EVERYDAY..LOOSE LOT OF MONEY N NO HELP BUT GROWW BLAME US. WRONG INFO. GIVEN. BIG CHEAT. Even Mutual Funds, price shows 11% increase and when you Redeem, it shows 11% loss. Check price of LIC MF GOLD ETF( 10/08/25,showing 11% increase but actually it is -11% decrease when you redeem). Agents and Supervisors says computer glitch. Customer's looses heavyly in Groww.",Payments & Withdrawals
Play Store,2026-09-13,2026-W37,5,,good👍,Unthemed
Play Store,2026-09-12,2026-W37,5,,simplest KYC,Onboarding & KYC
Play Store,2026-09-12,2026-W37,1,,Worst experience! Groww needs brokerage only even in customer loss.,Orders & Investing
Play Store,2026-09-11,2026-W37,1,,so much ads stop sending it,App Performance & UX
